Company,Job Title,Employement Level,Review Title,Pros,Cons,Rating
eBay,Software Engineer II,0,disconcerting,if you are a full-time employee you will definitely be able to learn a lot. benefits are incredible.,"extremely variable experience depending on your manager. lots of meaningless meetings. incredibly difficult to get anything done in an appreciable window of time. vitriolic levels of workplace toxicity, backed up by almost every amicable team member i would worked with jumping ship in the span of a few months. also assigned responsibilities highly disproportionate (i.e. in excess) to my actual job level / compensation. nobody is motivated and a lot of blame-shifting all around. it is an absolutely thankless role, exacerbated by employees i knew did legitimately earnest / above-and-beyond work getting laid off regardless simply to meet upper management headcount culling. it is depressing since none of this was at all the case when i entered.",2
eBay,DSA II,0,working in ebay,leaders value your growth and willing to give you opportunities to grow your interests,chinese and indian people works so hard,4
eBay,Sr. Staff Product Designer,0,very political,lots of great talents who want to make a difference,middle management is toxic - lots of politics,3
eBay,Member of Technical Staff(MTS),0,great company,great company to work with,intermiitent layoffs in past few years,3
eBay,Senior Manager,1,an ok employer,"good benefits and base pay, rsu.",not much opportunity for growth beyond a point. great for interns and early career,3
eBay,Software Engineer 3,0,good place to work but no growth,good place to work. nice work life balance,growth opportunities are very limited.,4
eBay,Vice President,1,laid back company,great work life balance and relaxed atmosphere from top down.,"nothing innovative happens here, just chill",5
eBay,Claims Specialist,0,ebay is a great company to work for!,benefits are amazing. they care about their employees.,"pay does not stay very current. they also have maximum pay for levels. if you max out and want another raise, you have to get promoted and switch jobs.",5
eBay,AI/ML Engineer,0,varried experience,"-good teammates and mentors
-good hours
-good architecture and support","-not enough emphasis on learning
-too many layoffs
-leadership lacking focus
-not clear growth plan",5
eBay,Senior Manager,1,great company,team members are great and the corporate culture is awesome,the lack of work life balance,5
eBay,EntryLevel Software Engineer,0,ebay entry level salary,"strong recent graduate network, opportunities to take part in hands-on work","politics between teams, lack of upward mobility, use of outdated systems that require unnecessary work to upkeep and improve, lack of consideration for work/life balance by managers",2
eBay,Senior Software Engineer,0,"good company, decent pay and benefit","i love working here, the compensation and benefit is not bad, even though it is not the top",battle with amazon is basically lost,5
eBay,Software Engineer,0,entry software engineer,good team work and getting the work done on time,bad communication with other teams,3
eBay,Software Engineer ( Senior MTS),0,mediocrity rules,you might be able to work on something interesting for a period of time.,"even if you are lucky to work on an interesting project, it will end inevitably. most likely abruptly.
good place to be a pm. not so good to be a dev.",3
eBay,Software Engineer,0,great company to work for,nice people to work with,#NAME?,4
eBay,Data Analyst II,0,"great benefits, not much career growth","office lunch, hybrid schedule, relaxed management.","promotions happen every 2-3 years, no matter if you have stellar reviews! sadly, big tech is hitting it is breaking point and the layoffs are impacting tenured employees and new employees the hardest. loyalty no longer exists in tech anymore.",4
eBay,"Sr. MTS, software engineer",0,review,"decent culture, decent benefits, work life balance depends on team, good pay in current market, tech","management who have no clue about direction of the company, forced rto,in-house technology build with no adoption,",3
eBay,IOS Engineer,0,great work environment,"opportunity to work with really brilliant people
learn a lot about different technologies
access to different programs to improve skills
working for a highly successful company",teammates are often located in different state or country,5
eBay,Global Workforce Analyst,0,crummy leadership,flexible if you work from home,"no leadership, no clear path for advancement, regular layoffs",3
eBay,Inventory Specialist,0,big company does not equal big improvements for workers,"- most middle managers do good work with their people - 6/10 schedule flexibility - the people who work here are great - most benefits come from living in ny, not working for ebay - micromarket has cheaper than normal drinks ($2 monsters) - pretty cool if you like magic, pokemon, and/or yugioh","- hires union busting lawyers - intentionally uses delay tactics when interacting with our union/bargaining committee - accommodations handled by people who do not know/understand nature of our job - minimal tenure pay - no cost of living raises - lost 50+ hours of pto due to ""policy"" - fair amount of favoritism - only a few career paths available",2
eBay,Senior Data Engineer Manager,1,collaborative teams,its great to work with cross functional teams and people are respective of your opinion. we get to learn and contribute.,nothing i can think of,5
eBay,Account Executive,1,not a true sales org. ,a lot of freedom to operate and make your way.,not very much corporate support.,3
eBay,Trust and Safety Specialist,0,"challenging role, great support & amazing benefits",role can be challenging at times but really great support and amazing benefits to fall back on.,"some changes can be difficult to understand at first but once you get the hang of it, it becomes 2nd nature.",5
eBay,Software Engineer,0,career growth,"benefits and pay
great chance to work with talented indviduals",nothing to share about cons.,4
eBay,Senior Manager,1,great place to work!,"friendly employees
great culture
good growth opportunities",slightly slower pace of working,5
eBay,Customer Service Specialist,0,great culture and benefits ,"the culture was amazing and unique. 
the benefits were wonderful, at a great price. ",the metrics they use to review employees are not fully in the employee's control. ,5
eBay,IT Senior Manager,1,ebay is a great place to work,the people are amazing. ebay is a place where collaboration is key.,"being in tech in today's economy, ebay will do reorgs from time to time and you are risk of losing your job no matter your skill, pay, or role.",5
eBay,MTS-1,0,great place to work,more reliance on open source or in house products,"you are not well versed with industry standard tools like aws, etc",4
eBay,Senior Program Manager,1,outstanding experience joining ebay in 2023,"i work in ebay's advertising business. biggest pro for me joining this company has been the amazing culture across the company and in this business organization. people are very committed to collaboration and partnership, helping each other succeed in our mission to delivering great experiences to our buyers and sellers. management has been great. compensation is very competitive. the work environment if you live close to an office is hybrid. there is a very good vibe coming into the office, seeing coworkers and making unexpected connections. i personally see a really good effort toward hiring a diverse workforce and am super proud of being part of such a company.","the hiring process took a bit longer than i had hoped. at the same time, i understand that the business wanted to take the care to make sure that they are hiring the right people. i appreciate and respect that. for me, the rationale for this was shared with me and i really appreciated the transparency.",5
eBay,MTS1 Software Engineer,0,good,good wlb and good benefits,lower end of pay compared to competition.,3
eBay,"MTS2, Software Engineer",0,good experience as long as you land in right domain.,"good people
good technical problems to solve
good benefits",mostly old tech stack in rtb mode,3
eBay,Senior Software Engineer,0,a company strong in culture,"global impact: ebay is a globally recognized e-commerce platform, giving you the opportunity to work on projects and initiatives that can have a significant impact on a worldwide scale. diverse workforce: ebay often fosters a diverse and inclusive work environment, which can offer you a chance to collaborate with people from various backgrounds and cultures, enhancing your cultural competence and perspective. career development: the company may provide opportunities for career growth and advancement, with a range of roles and departments, allowing you to explore different aspects of the business. innovative culture: ebay has a history of innovation and technological advancement. working for such a company may expose you to cutting-edge technologies and methodologies. employee benefits: many employees receive competitive benefits, which may include healthcare, retirement plans, and other perks like employee discounts on ebay's marketplace.","workload and stress: depending on the role and department, working at ebay can be fast-paced and demanding, potentially leading to high stress levels. competitive environment: like many tech companies, competition can be intense, and you may need to continually prove your value to the organization.",5
eBay,Customer Service Representative (CSR),0,good company to work with,"nice people, service can be a bit troubling",polices are taking a turn for the worse,5
eBay,Research,0,good job,great pay and benefits -month long sabbaticals every 5 years,question strategy for long term growth,3
eBay,Virtual Support Specialist,0,absolutely amazing company!,"amazing pay
exceptional benefits
very supportive environment 
incredible work/life balance","as with any job, there is stress. this position involves helping members at incredibly emotional moments. the emotions are real and not always nice.",5
eBay,VP Development,0,just ok,excellent team mates that you will like,politics and too many changes at all levels,4
eBay,Software Engineer,0,not so good to employee,"chill, not too many tasks","layoff often, employee feel frustrated about this",3
eBay,Data Analyst/Data Scientist,0,"good place to work, depends on the team",good work life balance. no pressure to work over the weekends to deliver,slow moving in decision making and the decision taken are mostly risk averse,3
eBay,Marketing Executive,1,i was respected equally to the amount we disappointed clientele,upper management always had my back and allowed me to look the other way when my counterparts were dishonest.,the culture at ebay customer service is to tire the clients until they give up. oversees agents commonly gaslight people with real issues. their main job is to pretend they are helping to make the customer give up.,2
eBay,Data Analytics,0,bad culture,there is nothing good to discuss,"the culture is screwed up top-down. the management is very biased, growth only happens to mediocre talent. the company is not customer focussed, they are behind numbers and beautification of initiatives that customers do not see a value in.",1
eBay,Software Engineer MTS1,0,overall good place to work,good pay and benefits. interesting projects that make a direct impact. i work in a growing part of the company so ymmv.,"all of the pain that comes with a large, publicly traded company.",5
eBay,Software QA Engineer,0,decent company,smart people around to learn from,business can fluctuate and completion do eat market share,4
eBay,Data Scientist,0,good to work here,"good benefits, pay and value",so many lay offs here,5
eBay,Member of Technical Staff Software Engineer,0,great benefits and salary,work life balance. friendly colleagues. it is like my 2nd home. great leaders.,no free food. they used to give free breakfast before pandemic. now not.,5
eBay,Director Finance,1,ok company,ok in terms of pay,bad work life balance and layoffs,3
eBay,Software Engineer,0,work life balance,"normal work life balance, not outstanding","too many meetings, too less money",3
eBay,Member of Technical Staff(MTS),0,greate place to work,"greate road map
work life balance","old technology
unclear product road map",5
eBay,Customer Service Representative,0,micromanaging,"insurance 
good pay
work from home","micromanaging
unrealistic work expectations
survey based bonuses 
outsourcing jobs to over seas",2
eBay,Accountant,0,hybrid work schedule,the 401k provider is good. they have all for after-tax 401k contributions. you get a sabbatical after 5 years,3 day in office requirement,3
eBay,Category Manager,1,great company!,work life balance and coworkers are great,career development is hard and not transparent,4
eBay,Member Of Technical Staff,0,great wlb. legacy systems and poor management.,"great work life balance. decent pay,","management is bad. not sure about the future of the company, legacy tools, and infra.",4
eBay,MTS1 Software Engineer,0,good wlb.,good wlb and decent pay,very old tech stack in majority of teams.,3
eBay,Associate,0,ebay,they always treat you well,not always accommodating to new schedule,4
eBay,Senior Product Manager,1,good wlb,"good work life balance, ownership to drive projects",reorgs if leadership changes. tedious planning process which feels like team is always in planning,4
eBay,Operations,0,"alright starting, moving up not so much",the people are excellent to work with.,"as of writing this, the hybrid policy is switching to 3 days in office with little to no chance of switching to fully remote.",3
eBay,Software Engineer,0,experience working as a software engineer,"good compensation, opportunity to grow",you have to put lots of hours to work,4
eBay,Project Manager,1,plenty of opportunities,great platform to allow anyone to sell online easily. working with great people,might be trauma that made the bonds so strong lol,4
eBay,Seller,0,hard work,flexible hours and lots of time off if wanted,taxes are hard to deal with,4
eBay,Category Manager,1,limited career growth,"pay is higher then average 
great benefits 
hybrid
well known 
location","too many lay offs
management does not motivate or challenge for growth",4
eBay,Data Analyst,0,great place to work at,"friendly working atmosphere
up to date analysis experience","a bit old fashioned, no quite fancy tools",5
eBay,Global Process Improvement Manager,1,great place to work,compensation package is awesome.  a lot of great people to work with.,can be challenging to make things happen.  tend to move slow.,4
eBay,Senior Finance Manager,1,na,ok place to start career,"headcount is heavy, and too political",2
eBay,Applied Researcher,0,ebay ml researcher,"environment, ability to do much and learn much","flat stock value, layoffs in recent years",3
eBay,Lead Software Development Engineer In Test (SDET),0,"great company, mismanaged",i have been working with great people and have learnt a lot over the years.,it would be great if leadership really listened and supported innovative ideas instead of just focusing on profits.,3
eBay,Data Scientist,0,good,has good team and environment,less pay and company growth seems to be not really good,4
eBay,Customer Service Representative,0,horrible company to ebay sellers!,co-workers are mostly adept and nice,"the way ebay discriminates against their sellers and always favors buyers, even if they are scammers, is appalling. there have been numerous occasions where i have seen sellers get the raw end of the deal even if they are right, as ebay wants to cater to buyers. ebay is losing good sellers as a result. i cannot stay here much longer due to the lack of integrity of the company.",1
eBay,Applied Scientist,0,not a place to growth,"good work-life balance
team atmosphere is chill","the firm is not growing
slow promotions
stale infrastructure
some directors love and protect their managers who are not doing anything",3
eBay,Sr. Director Data Science,1,community of good people,"good, smart, genuine people always trying to do a good job","questionable strategy, frequent layoffs, and senior leader communication is sometimes lacking",4
eBay,EBay At Home Agent,0,"ebay, a great company !","loved working at ebay. great people, great team. great benefits. treats employees well. ",ebay was a great place to work at. i did not have any issues.,5
eBay,Customer Service Representative,0,could be bettef,pay up to $21/hr w pay differential,"the customers are adult toddlers who throw fits and curse you out when they do not get their way, and as an agent you are required to endure it",1
eBay,Senior Software Engineer,0,was great company once but is a slow growth spot,"comprehensive package
healthcare
401k matching","pto are less compared to other places unless you accrue
micromanagement/politics",4
eBay,Guest Service Representative,0,working for ebay,"good pay, good benefits, good team","large workload, complex procedures for phone calls, lot of information to learn at once",3
eBay,Senior Manager,1,"ok, but going downhill",great team members and decent company culture,laid offs almost 2 times a year,3
eBay,Staff Software Engineer,0,great people ,nice place to work with good culture,"have to coordinate with employees from different time zone like cdt, ist",4
eBay,Sr Product Manager,1,good work life balance ,good work life balance if that is what you want,i have heard there was layoffs recently,4
eBay,Customer Service Representative,0,awesome place to work,"generous benefits, in every area, lots of pto, flexible work schedules",not much movement for part time employees,5
eBay,Operations Program Manager,1,comms is a bit disfunctional,able to work completely remote. culture is striving for inclusiveness.,"the biggest con of working in the comms department is the tedious review process for everything you do. if you want to be trusted to do the work in the way you think is best, or if you are accustomed to quick and efficient processes, this department is not for you. if you enjoy having 5 other people weigh in on your work to ensure everything is ""perfect"" then you might like working here.",3
eBay,Customer Service Representative,0,easy job but company is a mess..,"1. i love having the ability to work remotely. 

2. vacation is accrued during the time you are working and starts accruing during day 1 of employment.

3. management is not overbearing and is helpful when it comes to certain life situations such as power outages, internet outages, etc.

4. i have not experienced it myself yet, but it does seem that there is a large amount of career opportunities. you receive emails when a position has opened up and are invited to apply. they also give you an opportunity to do a trial period with a certain position to see if that is the job you want to transfer to or if it may not be your cup of tea.","1. pay is not what was expected nor what was told to me during interview process. i was told that raises would increase every 6 months as you grow your tenure. few months in, i was then told that i would not see a raise for a few years or until i reach a certain skill/department (premium services) considering i was already brought in at the maximum rate which is not what was told to me. 

2. during the interview and training process, i was told that the company offers flexible scheduling to help work around your life/work schedule. when i asked about changing my schedule due to my husband's schedule changing which resulted in either of us not being able to pick up our 1 year old from daycare, i was told no and that i was hired for that specific time slot and that i cannot change my schedule at all under any circumstances. that rubbed me the wrong way.

3. when it comes to seeking help everything seems all over the place. your options are looking up articles, contacting another department which is an entire issue in itself, or reaching out to management which... is almost never there. if they are there, they tell you to reach out via help line which sometimes does not provide much help. 

4. transfers. when it comes to transferring to different departments it is a complete nightmare!! you can only do a warm transfer and every single time i get a customer that needs to be transferred to the correct department, the representative on the other end pretends that they are going to take the call then will disconnect. every single time!!! it is extremely frustrating. then the so called resolution is to submit a transfer tracker documentation about the representative who disconnected but nothing seems to be done about it. i have made so many submissions that i could write a 5 page essay. now, they say you can cold transfer after being disconnected with an agent twice but that should not be the case.

5. 85% of the time i truly do not even understand what i am doing or supposed to do when it comes to helping some customers. you are very limited on what you can do which angers many of the customers. you are here to guide customers through the website and tell them to do it on their own.

6. my vacation was used without my knowledge or consent. i came across a day where i was very sick and was going in to use some of the vacation that i accrued only to find out that it was already used. i had a couple cases where my internet provider was doing maintenance for our neighborhood and connection would go in and out. i gave management a heads up days before about it but still attempted to work. during the timeframe where the internet was out for a few hours it seems that they input vacation hours during that time but never told me. so i was a bit frustrated when i went to go use it when i actually needed it and there was none to use.

now, i understand companies are not perfect and the call center jobs are not the greatest and will have its ups and downs. i have previously worked as a call center representative for at&t and i had an absolute terrible time with at&t. but i hate to say it, i would rather go back and deal with at&t than ebay.",3
eBay,Ebay Lister,0,good,good business to sell items,bad when it comes to returns,5
eBay,Seller,0,ebay vintage reseller ,you get to choose your own hours.,you have to do all the work to get sales. ebay gives the platform but it all depends on your work ethic and how you use it!,5
eBay,Strategy Analyst,0,nope,its a global company and has name recognition,"its going no where. lack of direction and follow through, a dinosaur",1
eBay,Customer Service Representative,0,diversity in upper management is severly lacking and is bothersome,"benefits start from day one and are pretty good.
lots of remote work available.
global company.","customer service is the only diverse section of this company. the upper managment and above is 98% white, which bothers me, because they advertise they are so diverse, but there are not any people of color, that i have seen in supervisor positions, management positions and definitely none in the executive positions. this is problematic for me, when they encourage you and tell you that you can pretty much move around and up within the company. it is discouraging and does not seem true, when i see maybe one person of color in any sort of ""leader"" position.

metrics: their metrics method makes no sense and is not fair. when you are hired into their customer service department, training is in three phases: you are trained in buy, then you go on live for a month or two, then you are trained in selling, and lastly m2m (which is for like disputes and other issues). working in the buy department is equivalent to being a receptionist for a company..... you get all of the calls! if a customer calls in and does not specify a department, or presses 0, they will be routed to the buy department. if you are only trained in buy, you have to transfer all of the other calls. transferring customers negatively affects your metrics. your metrics are factored into your bonuses. so it is not fair for employees who are only trained in buy because that department gets all calls, and has to transfer quite often.

survey's!!!: surveys are not fair (i have great survey results, but it is still not fair) because when a customer calls and has issues with the company (which the most common issue is how hard it is to reach a representative, because ebay tries to discourage customers from calling because they do not have enough employees to handle the volume of calls that would come if they published their phone number). so if a customer has an issue with ebay as a company, and not the actual representative that helps them, the only opportunity they have to express their dissatifaction is when they are offered the opportunity to take a survey after thier interaction with the representative that helped them. the survey affects the representative, which is unfair because that customer is complaining about the company and not the representative. this also affects your bonuses and ultimately your pay (increases). 

so those three things can be very frustrating and can be very discouraging.

ebay is a cool company to work for in theory, but if you have spent years working in customer service, you are trained to help customers, and that helping customers is what matters most! however, here at ebay i am not really sure what their goal is with customers..... you are not allowed to use certain words (such as ""i apologize"",), you are not allowed to ask the customer if they need any further assistance (which if they do, they end up calling back and that too negatively affects your metrics lol). 

and lastly (but definitely not least), the pay could be much better. they advertise about their benefits being so great, but the pay is not great. they basically start you out at around $20.50-$22 hourly, which honestly, in todays economy is not ""good"". they may consider it ""fair"" but i would rather they brag about great pay than great benefits, or how about just being ""great"" on both. 

my main cons would be the lack of diversity in upper management (this is a huge deal to me, because i feel like there is a glass ceiling with how far i can go, being a person of color), and the pay (which does without explaining).",3
eBay,SE - III,0,great place to work,great work-life balance with opportunities to grow,need more initiatives to reach out to genz,5
eBay,Sales,0,self employed ebay sales guru,make your own hours & work life stability,what you put in. you get out.,5
eBay,Manager,1,too many meetings,not very intense work environment.,too many meeting to focus on work stuff.,3
eBay,Ebay Lister,0,i loved working with this company.,"the more you post, the more you sell",money not always guaranteed or consistent,5
eBay,Member Of Technical Staff,0,member of technical staff,"provides support for the employees, good pay benefits",too much hiring and downsizing later,4
eBay,Chief of Staff,0,i will not miss it,"- sufficient autonomy, as long as you stay within the boundaries of what the manager specifically wants from you. - nice overall culture ""we are a family"" type of messaging. - 100% geared towards results --> i think this would work for someone who had previous industry experience in the specific field or function. - very nice team, although highly stressed and under the pump.","- no ramp up, you swim or you are out, literally. - high stress environment. - manager managed, but was not what you would call a people leader, nor did they seem interested to be. imagine a pottery class, the manager was a judge, not a coach. - management casually moved the goal post at every meeting, so you cannot win. as i mentioned before, this could work for someone who brings the specific hard skills that are called for (could do it my eyes closed type). - team work culture felt like going back to the 1990s/2000s, definitely did not connect to the 2020s.",2
eBay,Category Manager,1,ceo needs to go ,work life balance is great,poor leadership and no clear company direction,1
eBay,Director of Engineering,1,confusing company to be,"people
campus
problems to solve","leadership, no 360 review, no correction for bad leaders and managers",2
eBay,Seller,0,stole my money on payment dispute,"they will take your money for advertising, they always side with buyer.",they will steal your money via payment disputes and then you never get your product back and out the money. do not sell n ebay,1
eBay,Information Security Engineer,0,choose your own adventure,"skilled and driven coworkers, flexible/remote work, pay","constantly changing priorities, nothing seems to change/progress",4
eBay,Finance Manager,1,very good company to work for,fun enviornment & great people to work with,could be long hours and sometimes too much collavoration,4
eBay,Buy/Sell Team,0,ebay is the place to be,very organized and well put together. wonderful and supportive staff. perks perks perks!! bonuses and fast upskilling. pay differential for working swing shifts or after normal business hours,honestly just the current hours right now i am due for another upskill by end of year that comes with a promotion and shift change so ...just got to earn it. but i have only been here less than 6 months.,5
eBay,Senior Product Manager,1,"passive aggressive culture; waterfall development model, frustrating","-pay
-grubhub discount
-free breakfast","-rest and vest-ers
-too many cooks in the kitchen always
-people try to gain importance by creating obstacles",4
eBay,Sr Risk Management Customer Service Rep,0,not the best,"work life balance, pay,great benefits","favoritism, stuck in role, stats hard to obtain. no way to advance if stuck with stats",3
eBay,Marketing,0,great place to work,"doing good in the world, customer centric company, with smart employees.","relationship based organization, takes time to build trust, need to make personal effort to cross organizational silo's.",5
eBay,Customer Service Representative,0,ebay ,the teammates were really great,lots of loopholes. all traders lose money one way or another,3
eBay,Online Seller,0,ebay online seller,"flexibility: one of the most significant advantages of being an ebay online seller is the flexibility it offers. you can set your own hours and work from anywhere with an internet connection. this is particularly attractive for those who need to balance work with other responsibilities or have irregular schedules. low start-up costs: starting an ebay selling business typically requires minimal upfront investment. you can often use items you already own or source products inexpensively to get started. wide customer reach: ebay is a global platform with millions of users, which means you have access to a vast customer base. this can help you reach a broader audience than you might with a traditional brick-and-mortar store. profit potential: depending on what you sell and how well you market your products, there is potential for a good income. some sellers have turned their ebay businesses into full-time careers. no boss: as a self-employed ebay seller, you are your own boss. you make decisions about what to sell, how to price items, and how to manage your business.","competition: ebay is a highly competitive marketplace. many other sellers are offering similar products, which can make it challenging to stand out and attract customers. price wars and undercutting are common. fees: ebay charges various fees, including listing fees, final value fees, and payment processing fees. these fees can eat into your profits, especially if you have a high volume of sales. shipping and handling: managing shipping, packing, and customer service can be time-consuming and, at times, frustrating. dealing with lost or damaged packages, returns, and customer inquiries can be a significant part of the job. marketplace changes: ebay frequently updates its policies and algorithms, which can have a significant impact on your business. these changes can be challenging to adapt to, and they may affect your sales and visibility. income variability: your income as an ebay seller can be inconsistent. sales may fluctuate, and it can take time to build a reliable customer base. this variability can make budgeting and financial planning more difficult. taxes and legal obligations: as a self-employed individual, you will need to manage your taxes and comply with local, state, and federal regulations. this includes reporting your income and potentially collecting and remitting sales tax.",4
eBay,Customer Service Representative,0,call volume,"it drops as the night wears on, which is really nice!! the pay is quite good actually and working from home is the best!!",some members can get pretty abusive at times,4
eBay,Customer Service Representative,0,awesome managers and teammates,"every manager i have had an interaction with has been the best. always respectful, helpful and they truly care about how you are doing and how they can support you.",just wish pto and sick time can be separated,4
eBay,Sr. Category Manager,1,ebay is the best.,"amazing culture, great work/life balance. fun work to do.","you have to adapt to the ebay way. they will not adapt to you,.",5
eBay,Senior Manager,1,"needs to move in one direction -- and that goes for the leaders, too!","work life balance is generally better than at most high growth, new tech companies on the west coast. having said, that, some teams have it better than others.","lack of structure and process. a lot of long-timers who are stuck - they cannot move up because they do not have the skillsets and they cannot move out for the same reason. that can create a toxic environment and make it impossible to create change. company generally has a hard time moving in one direction - including the leaders. it is not a bad thing to have alternative views but when the direction and goals are set, everyone should be working towards it and not going towards opposing directions. or just sitting there.",3
eBay,Compliance Operations KYC ,0,great place to work,"it is been refreshing working in this company and a 360' change from working at bank call center. treatment from management is super awesome, they are always welcoming and open to help and support you. teams are really supportive and actually feels like a team. the benefits are super at least for my use has great coverage for eye/dental/medical and they also have lyra that is company covered for anything related to mental health and wellness that is been a huge help. option to buy company stock is awesome too.",there is not much frequent openings for new job positions and like many other companies there is a big demand for them when available. if you learn new skills they are not compensated when you are trained for it and start a new q for example but will be review until end of the year for you pay to be adjusted according to your yearly evaluation. way different that at other places i have worked when you are trained for a new skill you are going to to get an increase in your pay after a month doing you new skill and that is really frustrating to wait until the end of the year to prove your skill.,5
eBay,Applied Researcher,0,great wlb,the work-life-balance at ebay is good. currently we only need to rto for two days per week.,the tech stack is kind of old.,4
eBay,Senior Manager,1,great company to work for!,fantastic culture with a results oriented team.,very few (if any) cons come to mind.,5
eBay,Insights Analyst,0,ebay inc,"stable community
training opportunities
great tech knowledge","lack of promotion opportunities
niche groups leading to repetitive ideas and progress
lack of real innovative ideas",3
eBay,Software Engineer,0,instant result,still has hybrid working model,not enough time to prove yourself and have to show instant result,3
eBay,MTS1 Software Engineer,0,pros better than cons,good work-life balance as a developer,pay gap is high for workers,4
eBay,Seller,0,sell on ebay,be your own boss. sell whatever you can find. flip things,now they force you to connect to a bank.,3
eBay,Software Engineer,0,good wlb,"as the title says work-life balance was pretty good, company culture is geared towards employee welfare, flexibility to work on some open source technologies based on the team, compensation is not bad but not over the top.not too strict about scrum or processes so more time to spend on development.",promotions are random and no clear path with few levels to grow. old timers in the company coasting for too long with some recent attrition but definitely needs more new and young talent to join. work can get easy going and not so motivating after a while. low morale on turning over the company to appeal to mz generation of users.,4
eBay,Senior Software Engineer,0,ebay ,good place to grow in job ledder,old technology and poor infrastructure,5
eBay,Senior staff enigneer,0,good,lot of problems to solve.,work life balance is not that great.,4
eBay,Director,1,great place to work,"develop employees, employee centric, growth opportunities","marketplace business is competitive, nuanced, complex",4
eBay,Member Of Technical Staff,0,ebay not bad,"job security, good growth and",work life balance is not good with unrealistic deadlines,3
eBay,Director,1,great place to work,"the people are smart, the work is interesting",a little too political at times,4
eBay,Software Engineer  3,0,great work life balance,the work life balance here at ebay is second to none. i still get t work on something really impactful for our customers and still have a very healthy work life balance. the leaders here at ebay share appreciation for your efforts and also provide prompt feedback for improvement. leaders care for every individuals careers development,"although the initiatives are really focussed to improving user's experience, there is scope to improve and update the tech stack. having worked on more open source technologies earlier in my career, i feel there are more customized frameworks/tools used at ebay.",5
eBay,Sales Associate,0,internshio,"great environment, great opportunity and great connections made.","a lot of pressure, no pay and a lot of unnecessary stress.",5
eBay,Social Media Manager,1,best work environment i have had thus far,"as someone who has come from multiple toxic environments, this place was a breath of fresh air. super diverse great pay (salary, bonuses, benefits, etc.) people are smart, kind and genuinely care about the business. my manager empowered me and made me feel really confident in my field. work life balance is great. all around an amazing opportunity and there is room for growth.","layoffs happen often, so job security is not a thing here' which sucks. would have definitely stayed here longer if not for that.",5
eBay,Customer Service,0,work life at comapny,the pay was decent and work was not too bad,"not many cons, everything was good",4
eBay,Software Engineer,0,people are nice but burnt out,"people are nice, paid not bad, culture (in the org) is fine, manager is supportive.","wlb became bad after layoffs early this year, slow decision making, unclear leadership, people are afraid of layoffs.",3
eBay,Software Engineer,0,the team is mature and stable,the teammate are all mature and experienced engineers. the scrum meeting is efficient. no useless meeting to bother your work.,the process etc are all mature. so far i do not see much i can do to make a difference in a big scope.,4
eBay,Software Engineer III,0,overall average,better work life balance compared to other companies,unhealthy competition in teams. no friendly work environment.,3
eBay,ECommerce Marketing Analyst,0,great culture,* great teammate * managers recognize your value,* too many collaborations that slow down the process,5
eBay,Sr. Project Manager,1,good company,culture is strong and the people are great,a siloed organization with long tenures that inhibits the growth,5
eBay,Customer Service (CSR),0,good,good environment but i hear it has changed as of late,opportunities not always given to most qualified but instead a favorite pal,3
eBay,Financial Analyst,0,good experience,great work/life balance. managers are respectful of keeping work at work. employees are genuinely nice and helpful.,action from decisions is slow.,4
